hunger,lat,lon
27,40.672666,-73.872480
13,40.623270,-74.029500
13,40.627946,-73.945520
26,40.712090,-73.954270
36,40.662191,-73.913280
24,40.670937,-73.934590
17,40.598994,-73.996110
7,40.667508,-73.985600
19,40.680398,-73.948240
14,40.682090,-73.977830
22,40.644552,-73.975950
36,40.632449,-73.996290
31,40.641436,-74.015740
25,40.691234,-73.926370
13,40.726302,-73.945590
20,40.598142,-73.972290
27,40.576589,-73.991720
18,40.662892,-73.955090
19,40.645256,-73.955530
13,40.617563,-74.011680
15,40.599256,-73.941180
24,40.622994,-73.964270
14,40.678800,-74.002540
23,40.655481,-74.004240
30,40.676938,-73.918580
9,40.618561,-73.921600
19,40.583803,-73.950190
13,40.640527,-73.903620
29,40.703355,-73.919930
13,40.680145,-73.962570
29,40.645848,-73.879190
20,40.767969,-73.824960
23,40.749463,-73.819410
13,40.785462,-73.843660
5,40.784453,-73.809220
10,40.760522,-73.796120
8,40.780386,-73.780050
9,40.763177,-73.773920
7,40.759686,-73.733220
9,40.772636,-73.746440
9,40.746718,-73.759940
13,40.738983,-73.792090
13,40.726137,-73.795020
13,40.728614,-73.821450
20,40.747106,-73.858380
15,40.762854,-73.870510
10,40.763015,-73.890520
14,40.750146,-73.884330
18,40.736076,-73.878040
13,40.724945,-73.860900
9,40.720535,-73.845820
13,40.742869,-73.903770
9,40.724096,-73.902710
8,40.716028,-73.879250
12,40.703069,-73.892850
4,40.693538,-73.735740
9,40.697188,-73.759480
8,40.670138,-73.751410
12,40.658188,-73.843210
12,40.706903,-73.829730
16,40.683301,-73.850300
16,40.675534,-73.844760
15,40.698485,-73.833650
15,40.688688,-73.822160
11,40.673138,-73.814430
12,40.690870,-73.858280
7,40.662538,-73.735140
8,40.714261,-73.768240
9,40.732239,-73.721080
9,40.728235,-73.747820
8,40.719981,-73.741270
10,40.708833,-73.739030
76,40.650519,-73.795670
17,40.714144,-73.793240
17,40.696538,-73.787340
10,40.674888,-73.772700
16,40.700068,-73.809860
12,40.674146,-73.796870
5,40.747188,-73.638080
4,40.769942,-73.650040
2,40.589538,-73.729150
6,40.654112,-73.609500
5,40.750132,-73.613280
5,40.627386,-73.728520
4,40.639575,-73.667030
12,40.653935,-73.587000
3,40.725257,-73.640560
12,40.864757,-73.626090
2,40.823957,-73.604150
7,40.828143,-73.644010
2,40.813187,-73.625610
0,40.754757,-73.601772
19,40.702271,-73.617410
5,40.694900,-73.653940
12,40.703502,-73.593060
4,40.714300,-73.555270
43,40.754757,-73.601772
6,40.639534,-73.692530
8,40.603159,-73.655150
7,40.615790,-73.731260
6,40.881957,-73.594170
7,40.588154,-73.665170
4,40.656974,-73.673060
3,40.675249,-73.672980
3,40.666575,-73.554750
2,40.787368,-73.601190
0,40.593996,-73.580390
6,40.663935,-73.637920
6,40.636286,-73.637400
11,40.679413,-73.586940
3,40.793839,-73.651560
3,40.785642,-73.640060
7,40.846388,-73.644520
5,40.673000,-73.703460
3,40.651733,-73.710790
7,40.756287,-73.575360
3,40.758283,-73.642590
5,40.633103,-73.714040
22,40.600020,-73.759620
24,40.592939,-73.795680
14,40.596959,-73.819780
8,40.576490,-73.847210
5,40.560167,-73.908910
9,40.685100,-73.413170
4,40.687649,-73.325490
5,40.733398,-73.322570
6,40.719249,-73.358290
4,40.744850,-73.055000
9,40.729098,-73.256070
4,40.907277,-73.557130
3,40.673438,-73.533820
18,40.771447,-72.946630
3,40.740662,-73.486310
3,40.748970,-73.034360
6,40.770042,-73.113760
12,40.783954,-73.245170
1,40.720746,-73.266140
9,40.780058,-72.915660
6,40.868946,-73.080090
3,40.890598,-73.375360
13,40.784874,-73.199240
3,40.865731,-73.446450
4,40.841522,-73.280010
8,40.680892,-73.396090
5,40.884895,-73.005010
8,40.760698,-73.330070
7,40.729210,-73.180730
3,40.865998,-73.317960
3,40.848766,-73.534780
2,40.932053,-73.106660
5,40.725968,-73.441510
4,40.834690,-73.038600
6,40.922326,-72.637078
3,40.862565,-73.362210
4,40.799706,-73.074850
5,40.810606,-73.040360
6,40.867498,-73.411460
9,40.821698,-73.375530
4,40.791593,-73.405430
3,40.922326,-72.637078
5,40.734212,-73.214160
5,40.754386,-73.183260
4,40.786544,-73.536750
4,40.888497,-73.242580
5,40.855402,-73.118390
5,40.724883,-73.517390
6,40.690049,-73.374420
4,40.680850,-73.462890
2,40.685050,-73.446810
10,40.820786,-72.983750
4,40.946506,-72.988370
6,40.888890,-73.556080
7,40.929242,-73.013170
2,40.842962,-73.143030
5,40.905647,-73.331140
4,40.736011,-73.129600
10,40.643951,-73.161150
3,40.868882,-73.522920
11,40.770898,-73.002130
7,40.911082,-73.049660
6,40.946103,-73.062220
4,40.954093,-72.928840
6,40.818826,-73.118700
4,40.884394,-73.158680
5,40.739869,-73.071980
3,40.679752,-73.489590
6,40.869274,-73.042540
4,40.949930,-72.895330
3,40.853343,-73.207770
3,40.819266,-73.209670
6,40.955586,-72.973300
5,40.906174,-73.127480
4,40.815215,-73.500570
5,40.953261,-72.836800
2,40.676649,-73.511220
0,40.922326,-72.637078
5,40.713459,-73.300100
3,40.731954,-73.100810
3,40.813801,-73.469120
17,40.752098,-73.365160
5,40.763355,-73.523230
3,40.779911,-73.479480
3,40.765378,-73.457810
10,40.926595,-72.653270
4,40.985301,-72.104110
0,40.922326,-72.637078
5,40.939075,-72.305140
10,40.933429,-72.746460
4,40.797772,-72.797190
2,41.012868,-72.472300
10,40.995384,-72.185640
4,41.128923,-72.341890
5,40.806287,-72.756730
11,40.824658,-72.723560
3,40.848670,-72.577940
12,41.103838,-72.367290
7,40.875897,-72.520630
4,40.943323,-72.579960
3,40.961916,-72.550240
5,40.855861,-72.797360
12,40.804810,-72.846640
15,40.763634,-72.845540
3,40.994649,-72.537310
10,40.886267,-72.955200
5,41.038310,-71.950600
5,40.805789,-72.820920
7,40.991836,-72.475050
6,41.151826,-72.275110
0,41.036870,-72.453410
7,40.825411,-72.605060
2,40.803923,-72.704210
8,40.896090,-72.878240
0,40.937683,-72.268310
6,40.996280,-72.310740
3,41.060843,-72.331590
0,41.078150,-72.350930
11,40.794317,-72.871810
9,40.904348,-72.407140
17,40.941363,-72.575020
10,41.059209,-72.420410
9,40.820400,-72.701130
0,40.922326,-72.637078
25,40.947419,-72.245050
7,40.919693,-72.344070
10,40.818190,-72.678350
7,40.816142,-72.634490
4,40.832858,-72.916110
1,42.853043,-73.902900
5,42.698692,-74.031480
18,42.940644,-74.178990
9,42.279649,-73.817010
2,42.323565,-73.452570
3,42.627420,-73.534940
3,42.916343,-73.866570
7,43.006309,-73.860400
7,42.681107,-73.348900
5,42.610306,-74.156920
7,43.076810,-74.153320
1,42.912175,-73.903550
2,42.932315,-73.445210
11,42.399159,-73.427570
22,42.770985,-74.446940
6,43.158567,-74.496460
3,42.534631,-73.713270
24,42.722477,-74.350640
27,42.546034,-74.673150
8,42.346758,-73.578520
16,42.646742,-73.371611
1,42.543326,-73.974030
10,42.403719,-73.908750
14,42.696926,-74.524360
0,42.474135,-73.793350
0,42.475609,-73.926560
13,42.773777,-73.707930
3,42.353773,-73.827740
11,42.748910,-73.494050
5,42.749499,-74.186010
4,42.614979,-73.840860
14,42.767853,-74.090830
2,42.959229,-73.352360
7,42.350557,-73.919780
7,42.621933,-74.055740
9,42.419560,-73.504120
3,42.593047,-73.673430
6,42.525531,-73.502070
0,42.559697,-73.633350
16,42.615422,-74.659500
6,42.853676,-73.784450
6,42.784091,-74.311600
4,42.561226,-73.925280
7,42.953913,-74.378830
22,42.945701,-74.263312
23,42.970827,-74.247780
20,42.565907,-74.414570
22,42.896974,-74.374950
7,43.068203,-74.055260
11,42.305793,-73.651400
12,42.425405,-74.406160
7,42.600551,-73.796210
23,43.069562,-74.343600
6,42.430684,-74.037280
7,42.698231,-73.899060
6,42.694777,-73.905271
11,42.981745,-74.142570
2,42.434883,-73.892710
25,42.866666,-73.318113
16,42.888816,-73.355500
8,42.691779,-74.375130
13,42.496939,-74.628130
8,42.899334,-73.490060
12,43.014523,-74.384730
7,42.388394,-73.707260
23,43.525388,-74.408750
6,42.749640,-73.768020
0,42.469991,-73.585870
16,42.538589,-74.921850
9,43.146907,-74.234660
8,42.915904,-73.705390
13,42.456127,-74.140590
4,42.851106,-73.618670
15,42.558318,-74.314580
7,42.522197,-73.606130
21,42.444198,-73.788241
9,42.474028,-73.407500
2,42.442592,-73.657780
21,42.482123,-74.457150
25,42.466061,-73.629296
9,43.218920,-74.148220
1,42.437594,-73.555990
9,42.862695,-74.117590
9,42.760049,-73.368010
2,43.402760,-74.569720
3,42.693228,-73.569220
