Poverty Rate,Latitude,Longitude
17.5846661377208,40.750742,-73.99653
27.22361244786654,40.71704,-73.987
7.219042427546107,40.732509,-73.98935
3.8461538461538463,40.699226,-74.04118
10.506912442396313,40.706019,-74.00858
4.749930148086057,40.707904,-74.01342
2.799886299033542,40.714754,-74.00721
22.982657421725612,40.727093,-73.97864
10.537757782541743,40.739022,-73.98205
10.583502593125752,40.741012,-74.00012
10.726953969095282,40.72596,-73.99834
10.965934028832844,40.720666,-74.00526
6.80631565704221,40.734718,-74.00532
10.35025656974032,40.74618,-73.97759
6.626800097632414,40.752159,-73.97231
14.384195904928491,40.755101,-73.99337
11.932583189074823,40.765714,-73.9856
5.417602205277549,40.76842,-73.96045
4.258772356931866,40.759015,-73.96732
7.903891796989304,40.776099,-73.98285
7.104525567404977,40.786387,-73.97709
15.22536076794304,40.798502,-73.96811
25.71998503927191,40.802853,-73.95471
26.059817945383614,40.812665,-73.95499
5.230480525443692,40.776777,-73.9541
30.96109613434571,40.791586,-73.94575
29.048834664986906,40.818151,-73.94351
23.094802988041423,40.826201,-73.94879
25.199018754451213,40.840686,-73.94154
22.016115770432496,40.848764,-73.93496
22.511655275426605,40.867653,-73.92
38.418254821014536,40.802395,-73.93359
14.396307875539675,40.759511,-73.99019
28.951095166163142,40.813385,-73.93616
16.662955871220554,40.709677,-74.00365
29.673197809065176,40.826181,-73.9371
22.496358933113058,40.858704,-73.92853
11.837588949351193,40.762174,-73.94917
10.471607314725699,40.775477,-73.9905
6.505905041199815,40.781894,-73.95039
0.0,40.769334,-73.94893
4.175152749490835,40.707467,-74.0178
5.669737774627923,40.717179,-74.01433
21.629363007274847,40.631775,-74.09432
20.335508927126597,40.631127,-74.13715
27.13920322430631,40.629448,-74.16239
19.871549995224907,40.60787,-74.08991
13.117156295053295,40.599021,-74.07503
9.47779567205346,40.569394,-74.11785
6.665378670788254,40.508274,-74.24387
6.324940047961631,40.551353,-74.15098
8.270944741532977,40.529749,-74.21304
17.922220347562003,40.63212,-74.11551
6.490549968882046,40.543117,-74.17628
9.455313472654513,40.606337,-74.14513
35.383499170812605,40.819729,-73.9223
38.24038572509393,40.838745,-73.92234
41.10686837240977,40.853017,-73.91214
45.78827546955037,40.805968,-73.91628
41.34827764462616,40.815559,-73.90771
39.654789947922715,40.829676,-73.90856
37.133266374160804,40.846745,-73.89861
34.79925314419249,40.864166,-73.88881
36.58860824215155,40.825432,-73.89327
37.49753175804647,40.84095,-73.88036
14.582230846122185,40.842917,-73.83819
19.610294489064,40.842173,-73.85862
15.99577288884619,40.881086,-73.90749
9.032543723710427,40.857017,-73.78903
11.911269737287943,40.825727,-73.81752
18.650518560806862,40.89095,-73.84702
29.452481551432076,40.872265,-73.86937
31.887659837490503,40.867107,-73.89916
13.71630506245891,40.868643,-73.84735
12.637061403508772,40.900629,-73.86072
8.611615245009075,40.900819,-73.90347
34.2014392664384,40.830409,-73.86845
28.24838879915562,40.818514,-73.85893
39.40355329949239,40.81321,-73.88755
9.545444271151194,40.878522,-73.82541
0.645682001614205,41.289939,-73.76493
2.4559530165509877,41.011324,-73.84152
9.489051094890511,41.024855,-73.87513
1.5524093392945852,41.129908,-73.70352
2.2916666666666665,41.33431,-73.749244
3.4153005464480874,41.195778,-73.62777
8.500927114534303,41.236931,-73.69018
4.47806201939991,41.41362,-73.59556
1.8740629685157422,41.146297,-73.83311
6.649053280493175,41.260283,-73.94033
4.551365409622887,41.444833,-73.6845
1.323459902316055,41.167455,-73.77597
3.5863068284731026,41.440695,-73.9314
0.0,41.300561,-73.861217
